link,name,popularity,year
http://www.metrolyrics.com/its-the-end-of-the-world-lyrics-rem.html,It's The End Of The World Lyrics,10,2008
http://www.metrolyrics.com/its-the-end-of-the-world-as-we-know-it-lyrics-rem.html,It's The End of The World as We Know It Lyrics,3,2008
http://www.metrolyrics.com/its-the-end-of-the-world-as-we-know-it-and-i-feel-fine-lyrics-rem.html,It's The End Of The World As We Know It (and I Feel Fine) Lyrics,5,2014
http://www.metrolyrics.com/just-a-touch-lyrics-rem.html,Just a Touch Lyrics,0,2006
http://www.metrolyrics.com/king-of-birds-lyrics-rem.html,King of Birds Lyrics,1,2008
http://www.metrolyrics.com/king-of-comedy-lyrics-rem.html,King Of Comedy Lyrics,0,2006
http://www.metrolyrics.com/king-of-the-road-lyrics-rem.html,King Of The Road Lyrics,0,2006
http://www.metrolyrics.com/kohoutek-lyrics-rem.html,Kohoutek Lyrics,1,2006
http://www.metrolyrics.com/laughing-lyrics-rem.html,Laughing Lyrics,0,2006
http://www.metrolyrics.com/leave-lyrics-rem.html,Leave Lyrics,0,2006
http://www.metrolyrics.com/leaving-new-york-lyrics-rem.html,Leaving New York Lyrics,3,2004
http://www.metrolyrics.com/let-me-in-lyrics-rem.html,Let Me In Lyrics,2,2006
http://www.metrolyrics.com/letter-never-sent-lyrics-rem.html,Letter Never Sent Lyrics,0,2006
http://www.metrolyrics.com/life-and-how-to-live-it-lyrics-rem.html,Life And How To Live It Lyrics,0,2011
http://www.metrolyrics.com/lightnin-hopkins-lyrics-rem.html,Lightnin' Hopkins Lyrics,0,2008
http://www.metrolyrics.com/lisa-sez-lyrics-rem.html,Lisa Sez Lyrics,0,2006
http://www.metrolyrics.com/little-america-lyrics-rem.html,Little America Lyrics,0,2006
http://www.metrolyrics.com/living-well-is-the-best-revenge-lyrics-rem.html,Living Well Is The Best Revenge Lyrics,2,2008
http://www.metrolyrics.com/loosing-my-religion-lyrics-rem.html,Loosing My Religion Lyrics,0,2006
http://www.metrolyrics.com/losing-my-religion-lyrics-rem.html,Losing My Religion Lyrics,9,2003
http://www.metrolyrics.com/lotus-lyrics-rem.html,Lotus Lyrics,1,2006
http://www.metrolyrics.com/love-is-all-around-lyrics-rem.html,Love Is All Around Lyrics,2,2014
http://www.metrolyrics.com/low-lyrics-rem.html,Low Lyrics,0,2014
http://www.metrolyrics.com/low-desert-lyrics-rem.html,Low Desert Lyrics,0,2006
http://www.metrolyrics.com/lynne-andy-lyrics-rem.html,Lynne & Andy Lyrics,0,2008
http://www.metrolyrics.com/make-it-all-ok-lyrics-rem.html,Make It All Ok Lyrics,0,2007
http://www.metrolyrics.com/make-it-all-okay-lyrics-rem.html,Make It All Okay Lyrics,0,2004
http://www.metrolyrics.com/man-on-the-moon-lyrics-rem.html,Man On The Moon Lyrics,7,2003
http://www.metrolyrics.com/man-on-the-moon-orchestral-lyrics-rem.html,Man On The Moon (orchestral) Lyrics,0,2008
http://www.metrolyrics.com/mansized-wreath-lyrics-rem.html,Man-Sized Wreath Lyrics,0,2008
http://www.metrolyrics.com/maps-and-legends-lyrics-rem.html,Maps And Legends Lyrics,0,2006
http://www.metrolyrics.com/me-in-honey-lyrics-rem.html,Me In Honey Lyrics,2,2006
http://www.metrolyrics.com/me-marlon-brando-marlon-brando-and-i-lyrics-rem.html,"Me, Marlon Brando, Marlon Brando and I Lyrics",0,2011
http://www.metrolyrics.com/milk-cookies-lyrics-rem.html,Milk & Cookies Lyrics,0,2008
http://www.metrolyrics.com/mine-smell-like-honey-lyrics-rem.html,Mine Smell Like Honey Lyrics,0,2011
http://www.metrolyrics.com/miracle-lyrics-rem.html,Miracle Lyrics,0,2008
http://www.metrolyrics.com/monty-got-a-raw-deal-lyrics-rem.html,Monty Got A Raw Deal Lyrics,0,2006
http://www.metrolyrics.com/moon-river-lyrics-rem.html,Moon River Lyrics,0,2006
http://www.metrolyrics.com/moral-kiosk-lyrics-rem.html,Moral Kiosk Lyrics,0,2006
http://www.metrolyrics.com/mrrichards-lyrics-rem.html,Mr. Richards Lyrics,1,2008
http://www.metrolyrics.com/mr-richards-lyrics-rem.html,Mr. Richards Lyrics,0,2008
http://www.metrolyrics.com/mystery-to-me-lyrics-rem.html,Mystery To Me Lyrics,0,2006
http://www.metrolyrics.com/narrator-lyrics-rem.html,Narrator Lyrics,0,2006
http://www.metrolyrics.com/near-wild-heaven-lyrics-rem.html,Near Wild Heaven Lyrics,0,2006
http://www.metrolyrics.com/new-orleans-instrumental-no-1-lyrics-rem.html,NEW ORLEANS INSTRUMENTAL NO. 1 Lyrics,0,2007
http://www.metrolyrics.com/new-test-leper-lyrics-rem.html,New Test Leper Lyrics,0,2011
http://www.metrolyrics.com/nightswimming-lyrics-rem.html,Nightswimming Lyrics,6,2003
http://www.metrolyrics.com/oddfellows-local-151-lyrics-rem.html,Oddfellows Local 151 Lyrics,0,2008
http://www.metrolyrics.com/oh-my-heart-lyrics-rem.html,Oh My Heart Lyrics,0,2011
http://www.metrolyrics.com/old-man-kensey-lyrics-rem.html,Old Man Kensey Lyrics,0,2006
http://www.metrolyrics.com/on-the-fly-lyrics-rem.html,On the Fly Lyrics,0,2016
http://www.metrolyrics.com/orange-crush-lyrics-rem.html,Orange Crush Lyrics,5,2003
http://www.metrolyrics.com/out-of-time-lyrics-rem.html,Out Of Time Lyrics,0,2006
http://www.metrolyrics.com/pale-blue-eyes-lyrics-rem.html,Pale Blue Eyes Lyrics,0,2006
http://www.metrolyrics.com/parakeet-lyrics-rem.html,Parakeet Lyrics,0,2006
http://www.metrolyrics.com/passenger-lyrics-rem.html,Passenger Lyrics,0,2006
http://www.metrolyrics.com/perfect-circle-lyrics-rem.html,Perfect Circle Lyrics,0,2014
http://www.metrolyrics.com/permanent-vacation-lyrics-rem.html,Permanent Vacation Lyrics,0,2006
http://www.metrolyrics.com/photograph-lyrics-rem.html,Photograph Lyrics,0,2006
http://www.metrolyrics.com/pilgrimage-lyrics-rem.html,Pilgrimage Lyrics,0,2006
http://www.metrolyrics.com/pop-song-89-lyrics-rem.html,Pop Song 89 Lyrics,2,2011
http://www.metrolyrics.com/pretty-persuasion-lyrics-rem.html,Pretty Persuasion Lyrics,1,2006
http://www.metrolyrics.com/psa-aka-bad-day-lyrics-rem.html,Psa (a.k.a. Bad Day) Lyrics,0,2006
http://www.metrolyrics.com/radio-free-europe-lyrics-rem.html,Radio Free Europe Lyrics,5,2011
http://www.metrolyrics.com/radio-song-lyrics-rem.html,Radio Song Lyrics,1,2014
http://www.metrolyrics.com/revolution-lyrics-rem.html,Revolution Lyrics,0,2006
http://www.metrolyrics.com/rockville-lyrics-rem.html,Rockville Lyrics,0,2006
http://www.metrolyrics.com/romance-lyrics-rem.html,Romance Lyrics,0,2006
http://www.metrolyrics.com/rotary-11-lyrics-rem.html,Rotary 11 Lyrics,0,2014
http://www.metrolyrics.com/rotary-ten-lyrics-rem.html,Rotary Ten Lyrics,0,2008
http://www.metrolyrics.com/sad-professor-lyrics-rem.html,Sad Professor Lyrics,0,2014
http://www.metrolyrics.com/saturn-return-lyrics-rem.html,Saturn Return Lyrics,0,2006
